"estimate","std.error","2.5%","97.5%","lag","match_size","lead","time"
-0.049189448441247,0.035542208665739,-0.117274702380952,0.0181187276547788,5,1,1,"t+0"
-0.0286498800959233,0.0553210081798458,-0.13658370209157,0.0782001642179726,5,1,1,"t+1"
-0.0365707434052758,0.035038734997926,-0.10839596620776,0.0278058793824419,5,1,3,"t+0"
0.00959712230215827,0.0466202077372912,-0.074107796677306,0.106300711631989,5,1,3,"t+1"
0.0122613908872902,0.0440890875322257,-0.0683124207781466,0.100518983804744,5,1,3,"t+2"
-0.0167122302158273,0.0453177127938387,-0.117570498680499,0.0692337672272252,5,1,3,"t+3"
-0.0457098321342926,0.0343582262128955,-0.11174256506775,0.0204222627737226,5,1,5,"t+0"
0.00515587529976019,0.0468491295222303,-0.0778776562876519,0.102886768257254,5,1,5,"t+1"
0.0135947242206235,0.046468846175306,-0.0736021517634485,0.106914431117568,5,1,5,"t+2"
-0.018021582733813,0.0476846702196445,-0.113898655987189,0.064756339601143,5,1,5,"t+3"
-0.0726834532374101,0.0623309951719106,-0.206140411401704,0.0363652561954317,5,1,5,"t+4"
-0.114062350119904,0.0649035122150516,-0.248648092791911,-0.00505035319570434,5,1,5,"t+5"
-0.0585251798561151,0.0284306067462095,-0.11352935588437,-0.00432161016246686,5,1,7,"t+0"
-0.0208752997601918,0.0497527783062523,-0.114685397094431,0.0752800624196805,5,1,7,"t+1"
0.00461870503597122,0.0428801671197006,-0.0803275409795988,0.0854543286502438,5,1,7,"t+2"
-0.0240887290167866,0.0441081885191544,-0.115937098100352,0.0542523108400072,5,1,7,"t+3"
-0.0617410071942446,0.0399273626844485,-0.143280630559819,0.0144471044411584,5,1,7,"t+4"
-0.0920263788968825,0.0474733552164908,-0.194892892639928,-0.00549174901949954,5,1,7,"t+5"
-0.0951678657074341,0.0408118083868714,-0.176033795143213,-0.0178585921121594,5,1,7,"t+6"
-0.10479376498801,0.0589787963060076,-0.219823495519697,0.0100832572834098,5,1,7,"t+7"
-0.0621726618705036,0.0307541798083766,-0.121772468594554,0.000620043036600485,5,1,9,"t+0"
-0.0160143884892086,0.0527527870704455,-0.121885785979511,0.0898302444554473,5,1,9,"t+1"
-0.00502398081534772,0.0472455852519986,-0.0998897346810816,0.0827150199326718,5,1,9,"t+2"
-0.0205491606714628,0.0433963460842411,-0.113116527113728,0.055069576233546,5,1,9,"t+3"
-0.0485707434052758,0.0386487666577127,-0.123409724392935,0.0245979182630906,5,1,9,"t+4"
-0.0802661870503597,0.0487205212035843,-0.181577294097751,0.0113807876522702,5,1,9,"t+5"
-0.101426858513189,0.0542625679076895,-0.220630494984866,-0.00961955846664752,5,1,9,"t+6"
-0.0923836930455636,0.0602877199163196,-0.216063962009258,0.016935590173929,5,1,9,"t+7"
-0.0180023980815348,0.0582554891255538,-0.124055149478625,0.102517605869545,5,1,9,"t+8"
-0.033832134292566,0.0413209693800748,-0.114880755294479,0.0472252821030846,5,1,9,"t+9"
