"def_perc","buf_def_lag_perc","soil","capitals","towns","dem","slope","fric","IL_ha","mm_annual","mm_Aug_Sep","temp_Aug_Sep","Cerrado","Caatinga","Pampa","lag","match_size","lead","time"
-0.0994696005577021,-0.021459637677894,0.0537587537260054,0.096492966488459,0.131193043799885,0.0510177119998201,0.0347441518791149,0.202195424519546,0.123901019664224,0.127662310350959,0.164335797881843,0.162001562737256,-0.0519552138215821,-0.0557024718015986,-0.214976252169154,5,1,1,"t_5"
-0.104403462660509,-0.0112974396560639,0.0537587537260054,0.096492966488459,0.131193043799885,0.0510177119998201,0.0347441518791149,0.202195424519546,0.123901019664224,0.103892677278371,0.171413939391102,0.191404675155179,-0.0519552138215821,-0.0557024718015986,-0.214976252169154,5,1,1,"t_4"
-0.117016470547074,0.0177633597717492,0.0537587537260054,0.096492966488459,0.131193043799885,0.0510177119998201,0.0347441518791149,0.202195424519546,0.123901019664224,0.161856898637561,0.16690887979285,0.155592068863005,-0.0519552138215821,-0.0557024718015986,-0.214976252169154,5,1,1,"t_3"
-0.0628857673389658,0.0148335849413143,0.0537587537260054,0.096492966488459,0.131193043799885,0.0510177119998201,0.0347441518791149,0.202195424519546,0.123901019664224,0.183476046914113,0.180370664952678,0.147975171412244,-0.0519552138215821,-0.0557024718015986,-0.214976252169154,5,1,1,"t_2"
-0.132759213506471,-0.0411842046698253,0.0537587537260054,0.096492966488459,0.131193043799885,0.0510177119998201,0.0347441518791149,0.202195424519546,0.123901019664224,0.188078767603627,0.0898638080983545,0.16867114961531,-0.0519552138215821,-0.0557024718015986,-0.214976252169154,5,1,1,"t_1"
-0.235396554482131,0.00297235741688907,0.0537587537260054,0.096492966488459,0.131193043799885,0.0510177119998201,0.0347441518791149,0.202195424519546,0.123901019664224,0.173570001807832,0.0911900869261438,0.1770096676188,-0.0519552138215821,-0.0557024718015986,-0.214976252169154,5,1,1,"t_0"
-0.11474850917709,-0.0334327385109265,0.0590642261803878,0.112235552371356,0.150027547480809,0.0514216995630225,0.0400652417957726,0.234037430946888,0.139481721750685,0.142156833656593,0.181063967705599,0.180188862482921,-0.0645928433211104,-0.0585451965384205,-0.237101021314782,5,1,3,"t_5"
-0.114802762101055,-0.0205274227003399,0.0590642261803878,0.112235552371356,0.150027547480809,0.0514216995630225,0.0400652417957726,0.234037430946888,0.139481721750685,0.121045058591308,0.192847349423763,0.209525010986327,-0.0645928433211104,-0.0585451965384205,-0.237101021314782,5,1,3,"t_4"
-0.133066259625009,0.00867131536195566,0.0590642261803878,0.112235552371356,0.150027547480809,0.0514216995630225,0.0400652417957726,0.234037430946888,0.139481721750685,0.180301933676957,0.183485416863146,0.17308271248144,-0.0645928433211104,-0.0585451965384205,-0.237101021314782,5,1,3,"t_3"
-0.0771274275897143,0.00682973018773317,0.0590642261803878,0.112235552371356,0.150027547480809,0.0514216995630225,0.0400652417957726,0.234037430946888,0.139481721750685,0.199420453599192,0.194978696424042,0.165479259955549,-0.0645928433211104,-0.0585451965384205,-0.237101021314782,5,1,3,"t_2"
-0.151867045216752,-0.0476701980109987,0.0590642261803878,0.112235552371356,0.150027547480809,0.0514216995630225,0.0400652417957726,0.234037430946888,0.139481721750685,0.207174307962684,0.111402646965261,0.185033940405086,-0.0645928433211104,-0.0585451965384205,-0.237101021314782,5,1,3,"t_1"
-0.258895944493638,-0.00188817365522254,0.0590642261803878,0.112235552371356,0.150027547480809,0.0514216995630225,0.0400652417957726,0.234037430946888,0.139481721750685,0.192249125085611,0.107354016522251,0.194153472885594,-0.0645928433211104,-0.0585451965384205,-0.237101021314782,5,1,3,"t_0"
-0.133336578875999,-0.0511855141578524,0.0634810937247659,0.127451230003065,0.172486220384424,0.0467840928972563,0.0424721686405353,0.266069908928185,0.155842050991858,0.165177334657735,0.199570067601076,0.196517543057315,-0.0814495824888961,-0.0629945431308493,-0.257398004229021,5,1,5,"t_5"
-0.134516852191139,-0.0368603959192994,0.0634810937247659,0.127451230003065,0.172486220384424,0.0467840928972563,0.0424721686405353,0.266069908928185,0.155842050991858,0.141653610275896,0.219097901322612,0.225779638732966,-0.0814495824888961,-0.0629945431308493,-0.257398004229021,5,1,5,"t_4"
-0.154143950923837,-0.00404049971478201,0.0634810937247659,0.127451230003065,0.172486220384424,0.0467840928972563,0.0424721686405353,0.266069908928185,0.155842050991858,0.199791811139613,0.203466373525611,0.190187089494821,-0.0814495824888961,-0.0629945431308493,-0.257398004229021,5,1,5,"t_3"
-0.0902428278751823,-0.00560199838631205,0.0634810937247659,0.127451230003065,0.172486220384424,0.0467840928972563,0.0424721686405353,0.266069908928185,0.155842050991858,0.219145029836889,0.213090717213642,0.182573484727686,-0.0814495824888961,-0.0629945431308493,-0.257398004229021,5,1,5,"t_2"
-0.166472456667854,-0.0604741829163142,0.0634810937247659,0.127451230003065,0.172486220384424,0.0467840928972563,0.0424721686405353,0.266069908928185,0.155842050991858,0.230610665729144,0.133602506698757,0.200577125345693,-0.0814495824888961,-0.0629945431308493,-0.257398004229021,5,1,5,"t_1"
-0.285961141330627,-0.0136015705917426,0.0634810937247659,0.127451230003065,0.172486220384424,0.0467840928972563,0.0424721686405353,0.266069908928185,0.155842050991858,0.212335425840856,0.125286987330934,0.210670017277183,-0.0814495824888961,-0.0629945431308493,-0.257398004229021,5,1,5,"t_0"
