"estimate","std.error","2.5%","97.5%","lag","match_size","lead","time"
0.00535162503002898,0.0143623831530193,-0.0244118861438849,0.0331567119097297,5,1,1,"t+0"
-0.00537091916673034,0.0189910453686901,-0.0420656957336872,0.0319936642850968,5,1,1,"t+1"
0.00658738544819313,0.0134927224619925,-0.0211133097302557,0.0309445450373551,5,1,3,"t+0"
-0.00426692237782926,0.0172325432525169,-0.0380075940959092,0.0278820593037553,5,1,3,"t+1"
0.0115597884791051,0.0200827007577415,-0.0266372013521652,0.0511178365382135,5,1,3,"t+2"
0.0174220346214604,0.024519748718846,-0.0286899973536219,0.0648283538096652,5,1,3,"t+3"
0.0109784864713776,0.0141914123628611,-0.0161010029967208,0.0390747902800763,5,1,5,"t+0"
-0.00139892807292777,0.0175099699213593,-0.0362824382987251,0.0339101980691116,5,1,5,"t+1"
0.0140853118571461,0.0202682436534651,-0.0240347964467436,0.0545833031888448,5,1,5,"t+2"
0.0206955479066584,0.0246953831342695,-0.0263926946328273,0.0702068828509107,5,1,5,"t+3"
0.0161568774381659,0.0242637808727261,-0.033369144367417,0.0640298037386276,5,1,5,"t+4"
0.00730964147145849,0.0264691490453385,-0.0456501983560154,0.0559860741082239,5,1,5,"t+5"
0.014647857582706,0.0147992455001376,-0.014065576739247,0.0442012093319208,5,1,7,"t+0"
0.00192000854783506,0.0190919847590389,-0.03591148599354,0.0404747010163618,5,1,7,"t+1"
0.0180036844872391,0.022454417673326,-0.0233790532158061,0.0666113346994652,5,1,7,"t+2"
0.0244715037325481,0.0257232974271217,-0.0251610001885304,0.0791660158655503,5,1,7,"t+3"
0.0196493739382467,0.0249259161149485,-0.0263044672272161,0.0733010642264942,5,1,7,"t+4"
0.0117181477507279,0.0275396572952783,-0.0394514068743257,0.0685949309236058,5,1,7,"t+5"
0.010304320779784,0.0283656171348978,-0.0437880165296037,0.0697970921038106,5,1,7,"t+6"
-0.000229648152993302,0.0260157049492103,-0.0460028421870488,0.0558295029701492,5,1,7,"t+7"
0.0185811802841998,0.0150066290270214,-0.0108332985427129,0.0474885959123929,5,1,9,"t+0"
0.00510330710346267,0.0193467082179942,-0.0317964930355863,0.0430347754739282,5,1,9,"t+1"
0.0208109583183747,0.0224682492438755,-0.0198978557873888,0.0661876579695881,5,1,9,"t+2"
0.0268961140540111,0.0267156742492028,-0.0215316848872248,0.0832554558037412,5,1,9,"t+3"
0.0233653591661777,0.0255545782976348,-0.0262053246024509,0.0746420426208347,5,1,9,"t+4"
0.0150562897894913,0.0279853650465111,-0.0398263811496362,0.0690076361777026,5,1,9,"t+5"
0.0118238056378117,0.029133195220004,-0.0421736067278831,0.0697749288353109,5,1,9,"t+6"
0.00275185958076784,0.0262128692429581,-0.045251894934656,0.0563598207797796,5,1,9,"t+7"
0.00410328353504392,0.0280481641944644,-0.0490427754931059,0.0634964089764261,5,1,9,"t+8"
0.0064698239581482,0.0312242471371075,-0.0522675679802784,0.0712717642028168,5,1,9,"t+9"
