"estimate","std.error","2.5%","97.5%","lag","match_size","lead","time"
-0.0221031175059952,0.0191879614840789,-0.0592425416892517,0.0136680992736077,5,1,1,"t+0"
-0.0258057553956835,0.0258932408928798,-0.0771126073380172,0.0212121216965047,5,1,1,"t+1"
-0.0189712230215827,0.0178100283142658,-0.0550086804967927,0.0175559946131765,5,1,3,"t+0"
-0.0330599520383693,0.0239382444451909,-0.0777759658890067,0.0147112193244589,5,1,3,"t+1"
-0.0146810551558753,0.0255188512072974,-0.0617280714919162,0.0352663802006054,5,1,3,"t+2"
-0.0166570743405276,0.0342155769259901,-0.0874379373647622,0.0483672936581355,5,1,3,"t+3"
-0.0211630695443645,0.0166798566702176,-0.055591674814376,0.00942153279521336,5,1,5,"t+0"
-0.0301462829736211,0.0223734675597365,-0.0771496702981651,0.0111993227306422,5,1,5,"t+1"
-0.0204508393285372,0.0239336242715514,-0.0671637532261267,0.0264109393203883,5,1,5,"t+2"
-0.0227937649880096,0.0335245126243587,-0.0899248777926951,0.0438678152059827,5,1,5,"t+3"
-0.0446978417266187,0.0259636855956994,-0.0963568154098132,0.00476781246419978,5,1,5,"t+4"
-0.0349832134292566,0.0302368525636665,-0.093882482783431,0.0240713503649635,5,1,5,"t+5"
-0.0191846522781775,0.0166950663062563,-0.0525197001160877,0.0141342565357713,5,1,7,"t+0"
-0.0233693045563549,0.0209685470786217,-0.0626706194506104,0.0185956804196027,5,1,7,"t+1"
-0.0172134292565947,0.0245413753575192,-0.0648067732939442,0.0292618402169378,5,1,7,"t+2"
-0.039673860911271,0.0406738381480401,-0.127360490196078,0.0316063172192193,5,1,7,"t+3"
-0.0421966426858513,0.0289131267188217,-0.0983433959502452,0.0131092904986356,5,1,7,"t+4"
-0.0313069544364508,0.0319686337246566,-0.0940442480250134,0.0300065861619893,5,1,7,"t+5"
-0.035431654676259,0.0323772456318052,-0.0967170661764706,0.0295043245544124,5,1,7,"t+6"
-0.0498800959232614,0.0288368256594348,-0.105166372957942,0.00780615865592741,5,1,7,"t+7"
-0.0148968824940048,0.0164088561166071,-0.0494780280789597,0.0149348427958409,5,1,9,"t+0"
-0.0246618705035971,0.0207946815937679,-0.0665033335014797,0.0154904177885868,5,1,9,"t+1"
-0.0226235011990408,0.0239958090296986,-0.0693098444976076,0.0252721963807825,5,1,9,"t+2"
-0.0447074340527578,0.0396821972133055,-0.126256895156629,0.0259549111939296,5,1,9,"t+3"
-0.0480671462829736,0.0270615429525405,-0.10327520779506,0.00194409318751422,5,1,9,"t+4"
-0.0374556354916067,0.0304626194527981,-0.0993652122000669,0.0215780686526588,5,1,9,"t+5"
-0.0399448441247002,0.0317744791187494,-0.103811638378331,0.0258552334072591,5,1,9,"t+6"
-0.0590623501199041,0.0272493861809152,-0.112127304152793,-0.00843060735627447,5,1,9,"t+7"
-0.0569928057553957,0.0270526726135069,-0.111216251336581,-0.00833935734463277,5,1,9,"t+8"
-0.0427482014388489,0.0290953883681297,-0.0999309342408235,0.0156775240384615,5,1,9,"t+9"
