system:index,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,CONS_OBJ,DESIG,DESIG_ENG,DESIG_TYPE,GIS_AREA,GIS_M_AREA,GOV_TYPE,INT_CRIT,ISO3,IUCN_CAT,MANG_AUTH,MANG_PLAN,MARINE,METADATAID,NAME,NO_TAKE,NO_TK_AREA,ORIG_NAME,OWN_TYPE,PARENT_ISO,PA_DEF,REP_AREA,REP_M_AREA,STATUS,STATUS_YR,SUB_LOC,SUPP_INFO,VERIF,WDPAID,WDPA_PID,layer,path,.geo
0_0000000000000000005e,76.38311760404581,76.30863296764964,76.10590040203564,76.02194926055583,75.9103118150598,75.59188142304016,75.02021668405317,74.31442691223488,73.81282931094394,73.54367327013951,73.27574497332641,72.15624537201752,71.31710633477516,70.42556944203763,69.87544492119417,69.52378777191079,69.28276406869882,68.86660561308923,68.66119522441579,68.37699815235511,67.86610600651319,67.61336185679411,67.4451802540658,67.3263983248051,67.15129660629003,67.02681534370271,66.91691495938692,66.8014277955351,66.60555421611109,66.489301476577,66.28742397147353,65.57993389505175,65.50402430685102,65.41479493217994,65.35536038683193,65.31784407611086,65.2271969815224,Not Applicable,Terra Indígena,Indigenous Area,National,104.747029446108,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Nova Vista,Not Applicable,0.0,Nova Vista,Not Reported,BRA,1,0.0,0.0,Proposed,2001,BR-PA,Not Applicable,State Verified,352375.00000000006,352375,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b3,14.19944478462007,13.542130511331683,13.230093981013233,13.113698492479749,12.92611552718749,12.678191156212938,12.386002763523972,11.98941148499136,11.836249962764745,11.691036307851363,11.665302297292284,11.63790775273662,11.58394967705304,11.527505068227393,11.49009683342921,11.412074811944818,11.35909356058577,11.338342595986163,11.204453762715007,11.07103971066135,10.939048321806428,10.897054711037883,10.851405036538358,10.793302233010499,10.692874108010447,10.593286262124183,10.564157924419574,10.481343940891893,10.45649843904651,10.39673414235464,10.363261339496994,10.31678056404533,10.266149865375901,10.214687283527795,10.202105605124425,10.190484274069734,10.171390521445208,Not Applicable,Terra Indígena,Indigenous Area,National,97.173428009775,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Kokuey,Not Applicable,0.0,Kokuey,Not Reported,BRA,1,0.0,0.0,Proposed,2001,BR-MS,Not Applicable,State Verified,352472.99999999994,352473,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000148,102.469310991746,102.469310991746,102.469310991746,102.469310991746,101.54989190428398,101.39244307368226,101.1875274420262,101.15087017837628,100.90102636465211,100.63846407435325,99.76614313692622,96.23397230328631,90.79593328771657,69.80342721601164,64.3558289081506,62.03555626629784,61.82235050202103,61.77345912733625,61.75849770320295,61.727695491594055,59.64591965289732,57.25415923897694,57.11031529481663,57.07423586122292,56.99767644789294,56.95983737989978,56.95191739662342,56.9510373531664,56.93783703413565,56.918066342238546,56.91102632209697,56.90398637159652,56.90222629640122,56.901346257338716,56.899586205519874,56.898706193495954,56.897826182936875,Not Applicable,Terra Indígena,Indigenous Area,National,103.180508321626,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Zoró,Not Applicable,0.0,Zoró,Not Reported,BRA,1,0.0,0.0,Proposed,2001,BR-MT,Not Applicable,State Verified,5.55542542E8,555542542,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000159,102.93553729005941,102.93376987618001,102.92758392097983,102.92404908577475,102.91079396840415,102.89930590968834,102.8940037540487,102.88428308485925,102.87367871278893,102.86395807295739,102.8560048545736,102.85512116365562,102.85512116365562,102.84981909285484,102.84098233369957,102.82772662770594,102.80740183351648,102.78796149513758,102.78619417232264,102.78265950233973,102.77912470546472,102.77647361763513,102.76233453090416,102.7561488169149,102.74289375380454,102.73317341237387,102.72345318910726,102.70135836077068,102.68545265080974,102.65629210912275,102.63331679906415,102.60769048052167,102.58118017736004,102.5696923774943,102.56615770610759,102.54406578447671,102.46718559557291,Not Applicable,Terra Indígena,Indigenous Area,National,103.623547570348,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Jaminawa Arara do Rio Bagé,Not Applicable,0.0,Jaminawa Arara do Rio Bagé,Not Reported,BRA,1,0.0,0.0,Proposed,2001,BR-AC,Not Applicable,State Verified,5.55542559E8,555542559,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000027,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,103.95611442975343,Not Applicable,Terra Indígena,Indigenous Area,National,104.655068734988,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Riozinho,Not Applicable,0.0,Riozinho,Not Reported,BRA,1,0.0,0.0,Proposed,2002,BR-AM,Not Applicable,State Verified,352318.0,352318,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005d,83.4181945723173,83.36728613774702,83.10383182083217,83.05113759677205,82.93056552743614,82.42981534240533,81.47746094671282,80.97999036351914,80.47305179541875,80.24937518677481,79.87724730452328,78.55278845487072,77.85262353244899,77.23685429450516,76.71589298818806,76.22629767578967,75.70465607821976,75.23308396707517,74.72332544848577,74.37046500253552,73.62315757780117,73.24165676796453,73.0123750267773,72.85607830821034,72.71317680039749,72.61314710471878,72.53365963999754,72.48007213719029,72.35503492619203,72.17819508530911,71.90311166697312,70.45446653977548,70.3499698967097,70.11775577537388,70.00522161723207,69.98110710282754,69.91858831620591,Not Applicable,Terra Indígena,Indigenous Area,National,104.75140796426,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,São João,Not Applicable,0.0,São João,Not Reported,BRA,1,0.0,0.0,Proposed,2002,BR-PA,Not Applicable,State Verified,352374.0,352374,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015a,100.79329762014049,100.65675146157093,100.30563672206915,99.99264964687492,99.78694631911702,99.66547460018396,99.28953095644628,98.97072480263894,98.50159565108642,98.22181312786911,97.92813698251686,97.56387343156906,96.93973509339824,96.28360988850395,95.54643993719958,95.17493043225677,94.87967800745048,94.58757282219105,94.30975202388927,93.9299840654713,93.62554551951659,93.39412674345444,93.20615624363836,93.09317139368085,92.92825360858556,92.57004670605781,92.29853595700588,92.19125169809465,92.02193357517399,91.81535143856895,91.6739807798261,91.46188670186407,91.3616975368253,91.280051292277,91.12663712171276,90.73859778715291,89.2093022028344,Not Applicable,Terra Indígena,Indigenous Area,National,103.970828234118,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Nukini,Not Applicable,0.0,Nukini,Not Reported,BRA,1,0.0,0.0,Proposed,2002,BR-AC,Not Applicable,State Verified,5.5554256E8,555542560,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000f,73.90847443791083,73.84046122501734,73.5641793746741,73.49985245241612,73.2945313020255,73.25168236141272,73.24007724318761,72.92009446963345,72.89063526650847,72.86117611880337,72.86028341616665,72.85492721133267,72.83625408974657,72.81748994234931,72.77999664791574,72.7225945160604,72.67782314140699,72.66138343666636,72.63593968110904,72.62701269056947,72.61451497261295,72.60011972312924,72.56887523564143,72.56084092698664,72.55331778800935,72.52929201248254,72.52482863174525,72.51279322823608,72.50118825808228,72.49546100369398,72.47582190194838,72.4624314016432,72.4561825099806,72.44814820779554,72.4338649999098,72.40708421023695,72.31960048227062,Not Applicable,Terra Indígena,Indigenous Area,National,104.697059237128,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,São Gabriel/São Salvador,Not Applicable,0.0,São Gabriel/São Salvador,Not Reported,BRA,1,0.0,0.0,Proposed,2003,BR-AM,Not Applicable,State Verified,352292.0,352292,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002d,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,104.08820202252738,Not Applicable,Terra Indígena,Indigenous Area,National,104.793315979031,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Rio Cuieras,Not Applicable,0.0,Rio Cuieras,Not Reported,BRA,1,0.0,0.0,Proposed,2003,BR-AM,Not Applicable,State Verified,352324.0,352324,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000051,102.42776435010295,102.42688443250042,102.42688443250042,102.42688443250042,102.42688443250042,102.42688443250042,102.42424466724162,102.4145655399223,102.39521756179585,102.34646256019269,102.32143809316221,102.30559942690243,102.29680018349423,102.29680018349423,102.29592025929989,102.29504033364071,102.29240055593075,102.28976077309383,102.28976077309383,102.2888808452374,102.2888808452374,102.2888808452374,102.2888808452374,102.2888808452374,102.2888808452374,102.2888808452374,102.2888808452374,102.28360130300106,102.28360130300106,102.28360130300106,102.28360130300106,102.28360130300106,102.28360130300106,102.28360130300106,102.28360130300106,102.28360130300106,102.28360130300106,Not Applicable,Terra Indígena,Indigenous Area,National,103.18086465846,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Jaminawa do Guajará,Not Applicable,0.0,Jaminawa do Guajará,Not Reported,BRA,1,0.0,0.0,Proposed,2003,BR-AC,Not Applicable,State Verified,352362.0,352362,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,"{""type"":""MultiPoint"",""coordinates"":[]}"
