"estimate","std.error","2.5%","97.5%","lag","match_size","lead","time"
-0.0893453237410072,0.0393126873496588,-0.175008394856493,-0.0226197034986064,5,1,1,"t+0"
-0.0372637889688249,0.049506707882501,-0.131588509642655,0.0670051520847573,5,1,1,"t+1"
-0.0628489208633093,0.0312916139212351,-0.126409809342922,-0.00179227260574548,5,1,3,"t+0"
-0.0148824940047962,0.0448972310559004,-0.100145869722585,0.0702509571433633,5,1,3,"t+1"
0.0268153477218225,0.0394114734788651,-0.0444072093679458,0.101468253842299,5,1,3,"t+2"
-0.0303093525179856,0.0435300890611109,-0.119380497901119,0.0524896815098332,5,1,3,"t+3"
-0.0377601918465228,0.0297450802235869,-0.0991918821965539,0.0182130582101806,5,1,5,"t+0"
-0.0181966426858513,0.0449412566014633,-0.10185048481184,0.0750563729508196,5,1,5,"t+1"
0.00247002398081534,0.0418372737406783,-0.0767763618756134,0.0852715491071428,5,1,5,"t+2"
-0.0246906474820144,0.0361923068877884,-0.0946515152656277,0.045984329004329,5,1,5,"t+3"
-0.0410479616306954,0.0367624448769237,-0.115794849470824,0.026456605898533,5,1,5,"t+4"
-0.0610623501199041,0.0362238184592863,-0.138073281051876,0.0063349037816066,5,1,5,"t+5"
-0.031916067146283,0.0310432026598471,-0.0963227600587855,0.0286411172278633,5,1,7,"t+0"
-0.0421750599520384,0.0453750113068295,-0.122564878190255,0.0519924280177187,5,1,7,"t+1"
-0.0134364508393285,0.0423952452695873,-0.0889878860509367,0.0801428771476885,5,1,7,"t+2"
-0.0967985611510791,0.0662497337266666,-0.24608914222852,0.0194536104605777,5,1,7,"t+3"
-0.0842853717026379,0.0481174493212244,-0.186007314757641,0.00477324300178677,5,1,7,"t+4"
-0.0741031175059952,0.0443904424679003,-0.16143002090085,0.00597022946859902,5,1,7,"t+5"
-0.099916067146283,0.0441523673893045,-0.185558345410628,-0.0164993747588304,5,1,7,"t+6"
-0.0801175059952038,0.0440599296326128,-0.166584097439287,0.00280515080178241,5,1,7,"t+7"
-0.0681270983213429,0.0334368432261305,-0.136747970172019,-0.00629623705335205,5,1,9,"t+0"
-0.0226834532374101,0.0472524410366727,-0.112742064839976,0.0762252668832676,5,1,9,"t+1"
-0.0270743405275779,0.0506786945813913,-0.135277938952832,0.0690485743632582,5,1,9,"t+2"
-0.10305035971223,0.0500193931838961,-0.20233902734375,-0.00809941840607212,5,1,9,"t+3"
-0.0902278177458034,0.0435542162013039,-0.181570945498676,-0.0116276146772578,5,1,9,"t+4"
-0.0855347721822542,0.0366559742184726,-0.158128263297872,-0.0192619239751067,5,1,9,"t+5"
-0.151882494004796,0.0522214563386713,-0.262927716135422,-0.062179169384058,5,1,9,"t+6"
-0.0822925659472422,0.0409443280698772,-0.161350601580713,-0.00361330929791272,5,1,9,"t+7"
-0.0773357314148681,0.0530205684543979,-0.178411596910028,0.0279846366995074,5,1,9,"t+8"
-0.116865707434053,0.040669537914292,-0.203828934718517,-0.0447201455662393,5,1,9,"t+9"
