"estimate","std.error","2.5%","97.5%","lag","match_size","lead","time"
-0.0522012745881755,0.0255437438369737,-0.102678855987289,-0.000456526317600586,5,1,1,"t+0"
-0.0143257488708339,0.0427209006108839,-0.0907837106466221,0.0737141665710575,5,1,1,"t+1"
-0.0549842490701512,0.0251730351435002,-0.103869831198837,-0.00571909883384269,5,1,3,"t+0"
-0.0178787650259172,0.039562789361739,-0.0854897524146252,0.066980374025663,5,1,3,"t+1"
0.00434504652100064,0.0358655227497754,-0.0612807917834993,0.0797494673578096,5,1,3,"t+2"
-0.0348664800269592,0.0297965845860486,-0.0976491960303495,0.0214113882677461,5,1,3,"t+3"
-0.0609379385221726,0.025677314992552,-0.109605875144028,-0.0100376466753516,5,1,5,"t+0"
-0.0246483176357609,0.0428901765951843,-0.0975018215216105,0.0674246668363052,5,1,5,"t+1"
-0.00202312439875185,0.037829467081384,-0.0706271803465232,0.0744439958894724,5,1,5,"t+2"
-0.0417227351201415,0.0304639553038189,-0.104703571359979,0.0198584824988599,5,1,5,"t+3"
-0.0484961413735175,0.0281213284387746,-0.107243155076945,0.00237311848345659,5,1,5,"t+4"
-0.0715708859208961,0.0306046819966908,-0.133190625577564,-0.0147293489515128,5,1,5,"t+5"
-0.064725467400879,0.026030304128395,-0.11649131349386,-0.0132257185066678,5,1,7,"t+0"
-0.026859375892718,0.0423640873912766,-0.0986720403666062,0.0709856648382299,5,1,7,"t+1"
-0.00924553748337808,0.0376735202898089,-0.077058581974503,0.0729694231530903,5,1,7,"t+2"
-0.0508811754920692,0.0311532223308237,-0.110391108903337,0.0135881364748048,5,1,7,"t+3"
-0.054618885189672,0.0281835519352216,-0.110518229652478,-0.000804420004155198,5,1,7,"t+4"
-0.0775256807773791,0.0302618547470624,-0.137543062235507,-0.022005950017139,5,1,7,"t+5"
-0.0814579774799679,0.0303175661692096,-0.14219710058127,-0.022946282212699,5,1,7,"t+6"
-0.0612608107260786,0.0328563536409203,-0.123170409003813,0.00149733069381162,5,1,7,"t+7"
-0.0684378376023162,0.0264522826356425,-0.118420740068577,-0.0157899805143594,5,1,9,"t+0"
-0.0295183850868743,0.0387751108758664,-0.0964652110161731,0.0588391181648045,5,1,9,"t+1"
-0.0112702210073797,0.0358258664788554,-0.0725823316980862,0.0610396841476708,5,1,9,"t+2"
-0.0541757694112593,0.0292156776146882,-0.116148065113292,0.00636782851045109,5,1,9,"t+3"
-0.0586988880211111,0.0277329005546289,-0.11243958919382,-0.00637638617613072,5,1,9,"t+4"
-0.0822872323141843,0.0296577367189567,-0.141013030254945,-0.0265105977159771,5,1,9,"t+5"
-0.086122713113658,0.0299591292746666,-0.144397392178628,-0.0313287880554579,5,1,9,"t+6"
-0.0671070916559525,0.0324041757268124,-0.128687094964297,-0.00562112071157889,5,1,9,"t+7"
-0.0351746454931182,0.0488164537555999,-0.121317764203701,0.0695721902863003,5,1,9,"t+8"
-0.0692778582775777,0.0319156317755833,-0.128187151144196,-0.0102545750337262,5,1,9,"t+9"
