"def_lag","buf_def_perc","soil","capitals","towns","dem","slope","fric","IL_ha","mm_annual","mm_Aug_Sep","temp_Aug_Sep","Cerrado","Caatinga","Pampa","lag","match_size","lead","time"
0.0847234164585739,0.048305170870743,0.015334814305436,0.00945846923677719,0.0235310061410997,-0.0110085943455691,-0.00024594815801214,0.0400857632412129,0.0190780110960344,-0.00361164783175226,0.140182483400565,-0.014916037858016,-0.0178650891199054,-0.0149777494941842,-0.00103931953172724,5,1,1,"t_5"
0.0880516196202452,0.0777244209036585,0.015334814305436,0.00945846923677719,0.0235310061410997,-0.0110085943455691,-0.00024594815801214,0.0400857632412129,0.0190780110960344,-0.0301536101116228,0.122416310396631,0.00668936731538526,-0.0178650891199054,-0.0149777494941842,-0.00103931953172724,5,1,1,"t_4"
0.0769607212683162,0.0713916012436504,0.015334814305436,0.00945846923677719,0.0235310061410997,-0.0110085943455691,-0.00024594815801214,0.0400857632412129,0.0190780110960344,0.0253630231985838,0.142677220072515,-0.0213718244830095,-0.0178650891199054,-0.0149777494941842,-0.00103931953172724,5,1,1,"t_3"
0.0547654382023806,0.021964130211162,0.015334814305436,0.00945846923677719,0.0235310061410997,-0.0110085943455691,-0.00024594815801214,0.0400857632412129,0.0190780110960344,0.0456814152066689,0.156340558790361,-0.0300503903298989,-0.0178650891199054,-0.0149777494941842,-0.00103931953172724,5,1,1,"t_2"
0.0253646441954269,0.0729029956919237,0.015334814305436,0.00945846923677719,0.0235310061410997,-0.0110085943455691,-0.00024594815801214,0.0400857632412129,0.0190780110960344,0.041162815258183,0.062273330314474,-0.0106507641326803,-0.0178650891199054,-0.0149777494941842,-0.00103931953172724,5,1,1,"t_1"
0.0251455978173982,0.0427174602825703,0.015334814305436,0.00945846923677719,0.0235310061410997,-0.0110085943455691,-0.00024594815801214,0.0400857632412129,0.0190780110960344,0.00602592859194744,0.0443745066708823,-0.00965953889826762,-0.0178650891199054,-0.0149777494941842,-0.00103931953172724,5,1,1,"t_0"
0.0828375813122065,0.0432558872401722,0.0173358006240906,0.0163933805885931,0.0308234884367091,-0.0136188812236357,0.0013423901195233,0.0530469508556059,0.0252143558866934,-0.00195130728696392,0.155074374768312,-0.0151809530378603,-0.024297957748241,-0.0159382615197617,0.00175063284729554,5,1,3,"t_5"
0.0887179082459719,0.0732156746503736,0.0173358006240906,0.0163933805885931,0.0308234884367091,-0.0136188812236357,0.0013423901195233,0.0530469508556059,0.0252143558866934,-0.0276294357173938,0.139039562462659,0.00570899115133006,-0.024297957748241,-0.0159382615197617,0.00175063284729554,5,1,3,"t_4"
0.0811773099084485,0.0668904732235199,0.0173358006240906,0.0163933805885931,0.0308234884367091,-0.0136188812236357,0.0013423901195233,0.0530469508556059,0.0252143558866934,0.0301450103459677,0.155541523459209,-0.0224587793375923,-0.024297957748241,-0.0159382615197617,0.00175063284729554,5,1,3,"t_3"
0.0711865437713883,0.0206126819836446,0.0173358006240906,0.0163933805885931,0.0308234884367091,-0.0136188812236357,0.0013423901195233,0.0530469508556059,0.0252143558866934,0.0494573939560844,0.166340913981514,-0.0312226520583514,-0.024297957748241,-0.0159382615197617,0.00175063284729554,5,1,3,"t_2"
0.0407515308736771,0.0725719139926599,0.0173358006240906,0.0163933805885931,0.0308234884367091,-0.0136188812236357,0.0013423901195233,0.0530469508556059,0.0252143558866934,0.0466954153929747,0.0794666766625459,-0.0129321201314934,-0.024297957748241,-0.0159382615197617,0.00175063284729554,5,1,3,"t_1"
0.0347519516230764,0.0355006637660946,0.0173358006240906,0.0163933805885931,0.0308234884367091,-0.0136188812236357,0.0013423901195233,0.0530469508556059,0.0252143558866934,0.00892555500185489,0.0516076560620887,-0.0115739067217739,-0.024297957748241,-0.0159382615197617,0.00175063284729554,5,1,3,"t_0"
0.0799012687613388,0.031009517598115,0.0154385841102489,0.0224479901762592,0.038941881450115,-0.0198109124639032,-0.0021721180666747,0.0600300403865065,0.0295924457181424,0.00910399285988129,0.172230312969014,-0.0185643875276421,-0.0314689210778797,-0.0176065422164912,0.00654631364492724,5,1,5,"t_5"
0.0872327888916614,0.0646775966689682,0.0154385841102489,0.0224479901762592,0.038941881450115,-0.0198109124639032,-0.0021721180666747,0.0600300403865065,0.0295924457181424,-0.0202528732130367,0.161285140194301,0.00197016755393102,-0.0314689210778797,-0.0176065422164912,0.00654631364492724,5,1,5,"t_4"
0.0799377525900378,0.0585077609451525,0.0154385841102489,0.0224479901762592,0.038941881450115,-0.0198109124639032,-0.0021721180666747,0.0600300403865065,0.0295924457181424,0.0385673368052116,0.173318930320038,-0.0253033313970617,-0.0314689210778797,-0.0176065422164912,0.00654631364492724,5,1,5,"t_3"
0.0718873082721882,0.0105497718758451,0.0154385841102489,0.0224479901762592,0.038941881450115,-0.0198109124639032,-0.0021721180666747,0.0600300403865065,0.0295924457181424,0.0563835798794944,0.18274323389689,-0.0339909414262727,-0.0314689210778797,-0.0176065422164912,0.00654631364492724,5,1,5,"t_2"
0.047408232560351,0.0649544328420665,0.0154385841102489,0.0224479901762592,0.038941881450115,-0.0198109124639032,-0.0021721180666747,0.0600300403865065,0.0295924457181424,0.0578830650548633,0.0981113813014726,-0.0178057325080443,-0.0314689210778797,-0.0176065422164912,0.00654631364492724,5,1,5,"t_1"
0.0544515372934929,0.0232894653401189,0.0154385841102489,0.0224479901762592,0.038941881450115,-0.0198109124639032,-0.0021721180666747,0.0600300403865065,0.0295924457181424,0.0186021705280303,0.0594539140367822,-0.0149386836132115,-0.0314689210778797,-0.0176065422164912,0.00654631364492724,5,1,5,"t_0"
