system:index,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,BUFF_DIST,CONS_OBJ,DESIG,DESIG_ENG,DESIG_TYPE,GIS_AREA,GIS_M_AREA,GOV_TYPE,INT_CRIT,ISO3,IUCN_CAT,MANG_AUTH,MANG_PLAN,MARINE,METADATAID,NAME,NO_TAKE,NO_TK_AREA,OBJECTID,ORIG_FID,ORIG_NAME,OWN_TYPE,PARENT_ISO,PA_DEF,REP_AREA,REP_M_AREA,STATUS,STATUS_YR,SUB_LOC,SUPP_INFO,Shape_Area,Shape_Leng,VERIF,WDPAID,WDPA_PID,layer,path,poly_ha,.geo
0_0000000000000000005e,739.5606816116148,739.4008143165121,736.9313475377492,736.5837209439219,736.1068045211281,734.3442734074638,730.9488444853719,723.8240812173626,720.8365177802292,718.7481008512984,716.6631154691077,710.4169909315779,705.8957692429422,700.1013597003285,693.9522356267993,690.3002997175842,688.1306183872385,685.215201242456,683.5046809520207,681.1437160385078,677.3697030269792,675.6534436298489,673.7861379176456,672.4191789819914,670.5779735620783,669.4984960422101,668.7616758598975,668.1065108172653,666.726663304931,665.8913508290701,664.4728514012079,657.1746862540732,656.4174526447258,654.4440758245039,653.7761822630755,653.505777659444,653.1280902744398,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,104.747029446,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Nova Vista,Not Applicable,0.0,95,94,Nova Vista,Not Reported,BRA,1,0.0,0.0,Proposed,2001,BR-PA,Not Applicable,0.0675361223184,0.938313458557,State Verified,352375.0,352375,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10405,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b3,120.73394142917948,115.42677532726617,112.458558570758,111.31012461666565,109.85439411715237,107.89986686232498,105.35462911981581,103.0132120330189,101.95251078693049,100.72068050206434,99.91946146605014,99.03314909953214,98.29244990762533,97.42030088315757,96.7999689718051,95.44553521825088,94.92327038191381,94.66240861903975,93.78229025624928,92.87386423338293,92.16806416897901,91.07505615383435,90.31118377162105,89.92429351024086,89.19595317757253,88.70954956905197,88.38088204860503,87.88866450868828,87.56828883815574,87.26153882776813,87.05503063873877,86.59898433936954,85.94068200785206,85.4641631478369,85.30959375543812,85.21607706268546,84.99440567773746,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,97.1734280098,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Kokuey,Not Applicable,0.0,180,179,Kokuey,Not Reported,BRA,1,0.0,0.0,Proposed,2001,BR-MS,Not Applicable,0.0706582415167,0.959957764399,State Verified,352473.0,352473,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,9670,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000148,820.4090583925328,820.3852900243065,820.3782476277609,820.351972924764,818.1046226888528,813.9638001458416,812.1329431391898,810.1660897821066,809.1434756398501,807.9253658248,805.7776461650152,780.2582511668759,765.0046378462273,725.5531203666335,707.8172135917106,700.7338811927219,700.0753226655656,699.8827910452426,695.7484962500549,694.6549954681167,690.0733447633672,684.4044278273576,683.3980158950876,683.0672530675047,682.7785547709142,682.4732101475007,682.425693953897,682.3940168874911,682.3271400229892,682.2593812067663,682.2004238422036,682.1722655577801,682.1115479454758,681.9945152316708,681.8176036744815,681.7832841441469,681.5729173271922,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,103.180508322,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Zoró,Not Applicable,0.0,329,328,Zoró,Not Reported,BRA,1,0.0,0.0,Proposed,2001,BR-MT,Not Applicable,0.0681417681475,0.942485823371,State Verified,5.55542542E8,555542542,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10253,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000159,826.8303100178124,826.8144029626978,826.7923104398099,826.7569637249663,826.6730058508828,826.6305888450845,826.5545934594038,826.4653433815239,826.4238124719782,826.3858146805967,826.3425184802185,826.3045236417174,826.2647596285336,826.1392925428395,826.0076371655207,825.9086662034846,825.8653652097105,825.7787732570122,825.6921782256402,825.5481335466272,825.4730194674058,825.3767040029919,825.2883375301567,825.1345911488748,824.8767364300846,824.6531760581421,824.5126739632973,824.3597886146088,824.2343136855964,824.1008876334752,823.9807166150446,823.8561290031663,823.7297659011103,823.6431694116063,823.5998717668917,823.4550562832749,822.6564961516264,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,103.62354757,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Jaminawa Arara do Rio Bagé,Not Applicable,0.0,346,345,Jaminawa Arara do Rio Bagé,Not Reported,BRA,1,0.0,0.0,Proposed,2001,BR-AC,Not Applicable,0.0679683502194,0.941289175665,State Verified,5.55542559E8,555542559,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000027,829.4586985514952,829.4586985514952,829.4586985514952,829.4586985514952,829.4586985514952,829.4586985514952,829.4586985514952,829.4586985514952,829.4586985514952,829.4586985514952,829.4586985514952,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,829.4560217247129,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,104.655068735,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Riozinho,Not Applicable,0.0,40,39,Riozinho,Not Reported,BRA,1,0.0,0.0,Proposed,2002,BR-AM,Not Applicable,0.0675710656692,0.938553192734,State Verified,352318.0,352318,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10396,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005d,715.6812775456187,715.4527989016019,712.5138570749032,712.0184415768507,711.1098015646328,708.715261022324,704.2181505311662,699.9871487154901,697.1049174490561,695.1177801059097,692.8607748032971,686.8787750798847,682.1155737028228,676.6743813074455,672.6911291430482,669.658974969188,667.0995366223882,664.0609158705505,661.7036592957779,659.4056265470501,655.9602061029091,653.7113278572324,651.5924343860852,649.7682440610365,647.9899314064389,647.026050387654,646.3638534960511,645.7153570411867,644.3359077305189,643.0936802214258,641.1625701281109,636.2108381267905,635.2212735348032,633.813906074064,633.0422219817785,632.6036785718057,631.8723316729361,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,104.751407964,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,São João,Not Applicable,0.0,94,93,São João,Not Reported,BRA,1,0.0,0.0,Proposed,2002,BR-PA,Not Applicable,0.0675344548561,0.938302031121,State Verified,352374.0,352374,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10405,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015a,818.5409861544508,818.0506820049143,816.8732645204966,816.0800273724068,815.3658325311345,814.8214394873115,813.5375309118748,812.2412926359943,810.6622127247995,809.630179631042,808.6965699014814,807.560000303497,806.2983928290723,804.4676093560397,802.9819817355294,802.1263873928265,801.3587049471053,800.5667860610752,799.7873723270732,798.6946172213359,797.5268665533958,796.8778755753627,796.3765688116639,795.893316572801,795.32678173668,794.3229301075094,793.3229183736082,792.9354775879026,792.4345510387686,791.9256316240339,791.4671747497459,790.8696038683413,790.4163102657067,790.1422455074542,789.4338433468765,788.0770521396287,782.586662211708,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,103.970828234,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Nukini,Not Applicable,0.0,347,346,Nukini,Not Reported,BRA,1,0.0,0.0,Proposed,2002,BR-AC,Not Applicable,0.0678336333765,0.94036111272,State Verified,5.5554256E8,555542560,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10330,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000f,692.6609835503947,692.1137733957194,691.6446060427688,691.514271305035,691.1036269708106,690.9848987410146,690.8858079241227,690.2859142669031,689.8752650522515,688.8655888754595,688.4960039492618,688.1432813149302,687.6987046405524,687.2585935597422,686.7488518829227,686.556919377429,686.1498381945676,685.9811151928585,685.7436540256211,685.5454703754132,685.2615857398532,685.0875069799644,684.7920172653636,684.512595212934,684.0064308830375,683.635064100201,682.2934016751981,681.9925570483674,681.546198682706,681.274810227566,680.6624280477605,680.2044717995313,679.9625432419741,679.7786415616747,679.4456547775534,678.7689743896697,676.9746134463198,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,104.697059237,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,São Gabriel/São Salvador,Not Applicable,0.0,16,15,São Gabriel/São Salvador,Not Reported,BRA,1,0.0,0.0,Proposed,2003,BR-AM,Not Applicable,0.0675550382328,0.938443164338,State Verified,352292.0,352292,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002d,830.1521157829291,830.1521157829291,830.1521157829291,830.1521157829291,830.1521157829291,830.1521157829291,830.1521157829291,830.1521157829291,830.1521157829291,830.1521157829291,830.1521157829291,830.1521157829291,830.1521157829291,830.1521157829291,830.1521157829291,830.1503289851386,830.1503289851386,830.1503289851386,830.1503289851386,830.1503289851386,830.1503289851386,830.1503289851386,830.1503289851386,830.1503289851386,830.1494355859076,830.1485421871649,830.1485421871649,830.1485421871649,830.1485421871649,830.147648661347,830.1449684631048,830.1449684631048,830.1449684631048,830.1449684631048,830.1449684631048,830.1422882660222,830.126207090302,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,104.793315979,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Rio Cuieras,Not Applicable,0.0,46,45,Rio Cuieras,Not Reported,BRA,1,0.0,0.0,Proposed,2003,BR-AM,Not Applicable,0.0675184108523,0.93819215731,State Verified,352324.0,352324,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10409,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000051,815.2020894377426,815.0718672842393,814.9478662304853,814.8372216569279,814.7439691437444,814.6586265026923,814.6172707262033,814.5521529698556,814.4428579049982,814.2201879547579,813.9682012736146,813.7261661606358,813.6064981991485,813.4973855494911,813.2158144868695,813.046870883109,812.8876062775789,812.6799677147735,812.3816742250885,812.1678519520167,811.9144396064355,811.7657306448273,811.5726827579122,811.4380555787739,811.3122292475366,811.1951935530783,811.130078671304,810.97081299357,810.8185819653108,810.6522780185946,810.4006088883457,810.2342972687168,809.9377495334257,809.4572890185332,808.9522007135398,808.6318988072281,808.3422761808815,10.0,Not Applicable,Terra Indígena,Indigenous Area,National,103.180864658,0.0,Indigenous peoples,Not Applicable,BRA,Not Reported,Not Reported,Not Reported,0,905,Jaminawa do Guajará,Not Applicable,0.0,82,81,Jaminawa do Guajará,Not Reported,BRA,1,0.0,0.0,Proposed,2003,BR-AC,Not Applicable,0.0681414992471,0.942483935525,State Verified,352362.0,352362,IL,C:\Users\tpt590\Desktop\Indigenous tenure\IL.shp,10253,"{""type"":""MultiPoint"",""coordinates"":[]}"
